                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.31343,                0.25062,                0.82996,                0.99896,                      1,                  0.995,                  0.972,                0.29884,                0.20181,                0.83971,              0.0004754,              0.0004754,              0.0004754
                     79,                 0.3246,                0.25199,                0.84738,                0.99896,                      1,                  0.995,                0.96406,                0.31414,                0.21485,                0.83816,              0.0004556,              0.0004556,              0.0004556
                     80,                0.33361,                0.25938,                0.83226,                0.99899,                      1,                  0.995,                0.97768,                0.28739,                0.20634,                0.83535,              0.0004358,              0.0004358,              0.0004358
                     81,                0.30382,                0.24075,                0.84461,                  0.999,                      1,                  0.995,                0.97864,                0.28133,                0.19427,                0.83602,               0.000416,               0.000416,               0.000416
                     82,                0.31588,                0.26365,                0.84326,                0.99899,                      1,                  0.995,                0.97423,                0.29108,                0.19756,                0.83167,              0.0003962,              0.0003962,              0.0003962
                     83,                0.31262,                0.24945,                0.82601,                0.99892,                      1,                  0.995,                0.97383,                0.27792,                0.19668,                0.82789,              0.0003764,              0.0003764,              0.0003764
                     84,                0.29994,                0.24158,                0.83154,                0.99822,                      1,                  0.995,                0.97139,                0.26902,                0.19831,                0.82842,              0.0003566,              0.0003566,              0.0003566
                     85,                0.31571,                0.24781,                0.82712,                 0.9983,                      1,                  0.995,                0.97262,                0.28512,                0.19723,                0.82727,              0.0003368,              0.0003368,              0.0003368
                     86,                0.28876,                0.23189,                0.83377,                0.99898,                      1,                  0.995,                0.97107,                0.27614,                0.19528,                0.82858,               0.000317,               0.000317,               0.000317
                     87,                0.28564,                0.23635,                0.82256,                  0.999,                      1,                  0.995,                 0.9663,                0.28001,                0.19078,                0.83403,              0.0002972,              0.0002972,              0.0002972
                     88,                0.29795,                 0.2394,                0.83472,                0.99899,                      1,                  0.995,                0.97256,                0.28017,                0.19288,                0.83407,              0.0002774,              0.0002774,              0.0002774
